Item;Código de item;Nome do produto;Descrição química;Grau de Etoxilação;Grupo de Família;Família de Produtos;Peso Molecular;Data inicial do estudo;Tipo de estudo;Ensaios físico-químicos;ensaio_normalizado;categoria_ensaio;is_quantitativo;Método;Especificação;spec_tipo;spec_min;spec_max;0 dia_valor;0 dia_menor_que;1 sem_valor;1 sem_menor_que;2 sem_valor;2 sem_menor_que;1m_valor;1m_menor_que;2m_valor;2m_menor_que;3m_valor;3m_menor_que;4m_valor;4m_menor_que;5m_valor;5m_menor_que;6m_valor;6m_menor_que;9m_valor;9m_menor_que;12m_valor;12m_menor_que;18m_valor;18m_menor_que;24m_valor;24m_menor_que;30m_valor;30m_menor_que;36m_valor;36m_menor_que
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Material em suspensão a 60°C;Material em Suspensao;Organoleptico;False;MA - 222;substancialmente livre;DESCRITIVA;;;LIVRE;False;;False;;False;LIVRE;False;;False;LIVRE;False;;False;;False;LIVRE;False;;False;;False;;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Índice de acidez, mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 638;9,0 máx.;MAXIMO;;9.0;5.22;False;;False;;False;5.23;False;;False;5.8;False;;False;;False;5.59;False;;False;;False;;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Viscosidade 25°C, BKF, cp;Viscosidade;Fisico-Quimico;True;MA - 665;900 - 1000000;RANGE;900.0;1000000.0;1061.0;False;;False;;False;998.8;False;;False;953.8;False;;False;;False;665.0;False;;False;;False;;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Dioxana, ppm;Dioxana;Contaminante;True;MA-716;125 máx.;MAXIMO;;125.0;33.9;False;;False;;False;31.0;False;;False;27.0;False;;False;;False;7.04;False;;False;;False;;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Aparência temp. ambiente;Aparencia;Organoleptico;False;MA-742;flocos amarelados;DESCRITIVA;;;FLOCOS;False;;False;;False;FLOCOS;False;;False;FLOCOS;False;;False;;False;FLOCOS;False;;False;;False;;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Ponto de fusão, °C;Ponto de Fusao;Fisico-Quimico;True;MA-775;52,0 - 57,0;RANGE;52.0;57.0;52.37;False;;False;;False;52.63;False;;False;51.67;False;;False;;False;52.77;False;;False;;False;;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Cor Gardner, 60°C;Cor Gardner;Cor;True;MA-782;3 máx.;MAXIMO;;3.0;2.0;False;;False;;False;1.0;False;;False;1.0;False;;False;;False;1.0;False;;False;;False;;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Índice de saponificação, mgKOH/g;Indice de Saponificacao;Fisico-Quimico;True;MA-810;13,0 - 25,0;RANGE;13.0;25.0;17.71;False;;False;;False;18.12;False;;False;17.91;False;;False;;False;18.16;False;;False;;False;;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Água, %;Teor de Agua;Fisico-Quimico;True;MA-875;2,0 máx.;MAXIMO;;2.0;1.94;False;;False;;False;2.01;False;;False;2.07;False;;False;;False;1.86;False;;False;;False;;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Transmitância 800 nm, 1 cm, %T;Transmitancia;Cor;True;MA - 1085;95 - 100;RANGE;95.0;100.0;99.54;False;;False;;False;;False;;False;100.03;False;;False;;False;99.41;False;99.86;False;99.47;False;97.8;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Material em suspensão a 60°C;Material em Suspensao;Organoleptico;False;MA - 222;substancialmente livre;DESCRITIVA;;;LIVRE;False;;False;;False;;False;;False;LIVRE;False;;False;;False;LIVRE;False;LIVRE;False;LIVRE;False;LIVRE;False;;False;;False;;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Longa duração;Índice de acidez, mgKOH/g;Indice de Acidez;Fisico-Quimico;True;MA - 638;9,0 máx.;MAXIMO;;9.0;5.22;False;;False;;False;;False;;False;5.35;False;;False;;False;5.52;False;5.67;False;5.62;False;2.54;False;;False;;False;;False
